path,source_root,source_kind,file_count,logical_bytes,hashed_count,hashed_bytes,model_count,nonregular_count,error_count
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_group_d10_r1,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,22,1216820,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_group_d14_r15,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,22,999933,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_group_d20_r2,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,22,996733,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_target2x_1080p4k_yolo_detect_dual_20260713,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,35,6992911,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_target2x_1080p4k_yolo_detect_dual_reportfixed_20260713,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,35,7032736,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_target2x_primary1080p_recon4k_20260713,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,35,6469509,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_target2x_primary1080p_recon4k_d5fixed_20260713,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,35,6479124,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_verify_001,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,22,950506,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/cv5v5_verify_002,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,22,949793,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_2v2_geometric_20260703_184952,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,7,236156,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_2v2_geometric_close_20260703_185053,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,7,305851,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_2v2_geometric_stable_20260703_185141,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,7,434392,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_formal_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,221,420193911,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_formal_fast_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,192,336046707,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_preflight_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,127,206274833,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_preflight_alt50_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,115,137218475,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_preflight_fov75_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,89,102420174,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_preflight_mountfix_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,89,101872920,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_5v5_multicamera_preflight_pitchfix_20260716,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,89,92278770,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,23,1397986,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_50mps_2d_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,81,89135032,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_50mps_2d_20260810_mot_reaudit,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,11,810553,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_50mps_2d_worldray_v2_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,81,89764173,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_scale2_visual_diagnostic_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,299,396707817,0,0,0,0,0
/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs/d5_cv_long_range_20target_visual_evidence_20260810,/home/linux/Documents/MSM/research_modules/airsim_runtime/outputs,experiment_outputs,295,398290332,0,0,0,0,0
