document,table_index,section,table_line,row,column,reported,source,selector,source_row,source_fields,source_values,expected,status
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,2,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:12,11,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,3,关联准确度,100.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:27,26,"[""binding_precision_mean""]","{""binding_precision_mean"": ""1.0""}",100.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,3,关联覆盖度,97.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:27,26,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.975""}",97.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,3,处理耗时P95,0.772秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:27,26,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.7719738382460491""}",0.772秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,3,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:27,26,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,4,关联准确度,90.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:28,27,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9""}",90.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,4,关联覆盖度,8.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:28,27,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.085""}",8.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,4,处理耗时P95,0.165秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:28,27,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.1652822138486954""}",0.165秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,4,达到80%的批数,0/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:28,27,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""0"", ""seed_count"": ""10""}",0/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,5,关联准确度,95.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:43,42,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9503981106612687""}",95.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,5,关联覆盖度,91.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:43,42,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.9149999999999998""}",91.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,5,处理耗时P95,2.959秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:43,42,"[""runtime_s_p95""]","{""runtime_s_p95"": ""2.9593873165518745""}",2.959秒,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,5,达到80%的批数,10/10,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:43,42,"[""seeds_precision_and_recall_gte_0_80"", ""seed_count""]","{""seeds_precision_and_recall_gte_0_80"": ""10"", ""seed_count"": ""10""}",10/10,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,6,关联准确度,90.0%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:44,43,"[""binding_precision_mean""]","{""binding_precision_mean"": ""0.9""}",90.0%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,6,关联覆盖度,5.5%,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:44,43,"[""binding_recall_mean""]","{""binding_recall_mean"": ""0.05500000000000001""}",5.5%,match
deliverables/leadership_report/中心航迹与拦截无人机目标配准试验报告_CN.md,6,3.2 有卫星、正常姿态和轻干扰,140,6,处理耗时P95,0.577秒,research_modules/independent_experiments/center_terminal_cv_campaign/outputs/center_handover_sensor_error_20260820/aggregate_metrics.csv,data_row:44,43,"[""runtime_s_p95""]","{""runtime_s_p95"": ""0.5774796264078759""}",0.577秒,match
